replica,time,web_rt_mean,web_util,web_throughput,mit_rt_mean,mit_util,mit_throughput,arrivals_so_far,false_positives_so_far,mitigation_completions_so_far,spikes_count,scenario,mode,is_final,illegal_share,spike0_rt_mean,spike0_util,spike0_throughput,spike1_rt_mean,spike1_util,spike1_throughput,spike2_rt_mean,spike2_util,spike2_throughput,spike3_rt_mean,spike3_util,spike3_throughput
1,14200.0,3.1771053548996795,0.99999992902218,6.224014084507043,0.002113779985258781,0.2860119372297718,260.0482394366197,3773288,36903,3692685,50,finite simulation,finite simulation,False,0.900007632600533,3.132677228825618,0.9999980892664103,6.30830985915493,3.1242812286923978,0.9999793584567511,6.318239436619718,3.090674542566219,0.9999752194518343,6.381619718309859,3.1031526082987977,0.9999624394116444,6.344507042253521
1,14300.0,3.1747371790137042,0.9999999295185285,6.229230769230769,0.0021138804028513957,0.28612628778022475,260.13321678321677,3801105,37163,3719905,50,finite simulation,finite simulation,False,0.9000161795056963,3.1324879172051703,0.9999981026281837,6.3058741258741255,3.1256964816532817,0.9999795028032075,6.310979020979021,3.0895513877943053,0.9999753927423809,6.3828671328671325,3.112917448039268,0.9999627020731015,6.336223776223776
1,14400.0,3.172598965607605,0.9999999300079832,6.233333333333333,0.0021138277150116254,0.2860726530687282,260.0863194444444,3826929,37440,3745243,50,finite simulation,finite simulation,False,0.9000169587677221,3.1354189965680046,0.9999981158043768,6.3,3.126326025349797,0.9999796451448518,6.3152083333333335,3.088061566623157,0.9999755636261144,6.388541666666667,3.1104895012850657,0.9999629610864826,6.3348611111111115
1,14500.0,3.1684383620815986,0.9999999304906867,6.237379310344828,0.0021135693180250824,0.2860223393048445,260.0540689655172,3853023,37689,3770784,50,finite simulation,finite simulation,False,0.9000291459459235,3.138425259709829,0.9999981287988294,6.296413793103448,3.1238745749965178,0.9999797855231632,6.321655172413793,3.087968690414401,0.9999757321528309,6.390896551724138,3.109880386332861,0.9999632165272655,6.332137931034483
1,14600.0,3.1676658259056354,0.9999999309667779,6.240616438356164,0.002113675146117575,0.28602689536196535,260.04746575342466,3879544,37942,3796693,50,finite simulation,finite simulation,False,0.9000354165334895,3.137796013674645,0.9999981416152758,6.294657534246575,3.1219008232778473,0.999979923978484,6.325958904109589,3.0853815880925817,0.9999758983709621,6.391712328767123,3.1109449078154876,0.9999634684688596,6.335753424657534
1,14700.0,3.166149796857092,0.9999999314363917,6.241904761904762,0.0021135055067659043,0.2860659456224225,260.0890476190476,3906698,38210,3823309,50,finite simulation,finite simulation,False,0.9000426959032922,3.136839899469981,0.9999981542573487,6.296462585034013,3.1170609603357153,0.999980060550059,6.331428571428572,3.0874409982199187,0.9999760623276223,6.384693877551021,3.1127313154678142,0.9999637169826769,6.336054421768708
1,14800.0,3.1648263896489737,0.9999999318996593,6.241283783783784,0.002113447792244454,0.28600820661783816,260.03533783783786,3932456,38440,3848523,50,finite simulation,finite simulation,False,0.9000367709136479,3.136270798006582,0.9999981667285829,6.299797297297297,3.113098544362655,0.9999801952760721,6.3370945945945945,3.0918541680365554,0.9999762240686518,6.38054054054054,3.113905502574427,0.9999639621381994,6.333513513513513
1,14900.0,3.1622517150033533,0.9999999323567086,6.241476510067114,0.0021135599260638637,0.28603648823642425,260.05268456375836,3959328,38705,3874785,50,finite simulation,finite simulation,False,0.9000363192945874,3.134191281403322,0.9999981790324178,6.300738255033557,3.1145271289192555,0.9999803281936823,6.33758389261745,3.093094246748937,0.9999763836386609,6.3744295302013425,3.1172462004226573,0.9999642040030436,6.32738255033557
1,15000.0,3.161896519123145,0.9999999328076639,6.241,0.0021136045848714692,0.28608948337248236,260.0944666666667,3986539,38969,3901417,50,finite simulation,finite simulation,False,0.9000539064085413,3.135015551839317,0.9999981911722018,6.301,3.1127189502416397,0.9999804593390578,6.334933333333334,3.0926214230131426,0.9999765410810698,6.3786,3.113418981148908,0.9999644426430233,6.3314
1,15100.0,3.1657272905661245,0.9999999332526461,6.242185430463576,0.002113562106752132,0.2860731735844408,260.0894701986755,4013053,39238,3927351,50,finite simulation,finite simulation,False,0.9000426857058703,3.1347911565235127,0.9999982031511938,6.300529801324504,3.1173774741921845,0.9999805887474084,6.331721854304636,3.0910497324280164,0.9999766964381488,6.3828476821192055,3.1140356114490304,0.9999646781222087,6.3343046357615895
